bc_index,building_categories_index,climate_region_index,Af,gebaudebauweise_fbw,Hop,Htr_w,Hve,CM_factor,Am_factor,Tset,average_effective_area_wind_west_east_red_cool,average_effective_area_wind_south_red_cool,average_effective_area_wind_north_red_cool,spec_int_gains_cool_watt,hwb_norm,user_profile
DUE to the large number of rows the FULL data are exported in binary format only (Total number of rows: 5970)
1.600000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.442523193359375000e+02,3.000000000000000000e+01,1.524665679931640625e+02,8.423112487792968750e+01,4.080609512329101562e+01,2.135055236816406250e+02,3.000000000000000000e+00,2.000000000000000000e+01,6.521853923797607422e+00,3.129761695861816406e+00,1.867121100425720215e+00,4.250000000000000000e+00,2.141686553955078125e+02,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.541106719970703125e+02,3.000000000000000000e+01,2.965295715332031250e+02,1.286845550537109375e+02,4.359482574462890625e+01,2.135055236816406250e+02,3.000000000000000000e+00,2.000000000000000000e+01,7.950741767883300781e+00,3.965177297592163086e+00,2.178882360458374023e+00,4.250000000000000000e+00,3.782443542480468750e+02,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.541106719970703125e+02,3.000000000000000000e+01,1.904167327880859375e+02,8.638316345214843750e+01,4.359482574462890625e+01,2.135055236816406250e+02,3.000000000000000000e+00,2.000000000000000000e+01,6.741026878356933594e+00,3.234940290451049805e+00,1.929867386817932129e+00,4.250000000000000000e+00,2.375448913574218750e+02,1.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.541106719970703125e+02,3.000000000000000000e+01,1.595945892333984375e+02,8.330094909667968750e+01,4.359482574462890625e+01,2.135055236816406250e+02,3.000000000000000000e+00,2.000000000000000000e+01,6.741026878356933594e+00,3.234940290451049805e+00,1.929867386817932129e+00,4.250000000000000000e+00,2.058739776611328125e+02,1.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.632796173095703125e+02,3.000000000000000000e+01,2.484426269531250000e+02,1.202139739990234375e+02,4.618854141235351562e+01,2.135055236816406250e+02,3.000000000000000000e+00,2.000000000000000000e+01,8.322551727294921875e+00,4.150605201721191406e+00,2.280776023864746094e+00,4.250000000000000000e+00,3.034831237792968750e+02,1.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.632796173095703125e+02,3.000000000000000000e+01,2.484426269531250000e+02,1.202139739990234375e+02,4.618854141235351562e+01,2.135055236816406250e+02,3.000000000000000000e+00,2.000000000000000000e+01,8.322551727294921875e+00,4.150605201721191406e+00,2.280776023864746094e+00,4.250000000000000000e+00,3.034831237792968750e+02,1.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.632796173095703125e+02,3.000000000000000000e+01,1.678427429199218750e+02,8.727493286132812500e+01,4.618854141235351562e+01,2.135055236816406250e+02,3.000000000000000000e+00,2.000000000000000000e+01,7.056264877319335938e+00,3.386219263076782227e+00,2.020115852355957031e+00,4.250000000000000000e+00,2.042863006591796875e+02,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.659294891357421875e+02,3.000000000000000000e+01,1.717074584960937500e+02,9.241112518310546875e+01,4.693813323974609375e+01,2.135055236816406250e+02,3.000000000000000000e+00,2.000000000000000000e+01,8.389814376831054688e+00,4.184150218963623047e+00,2.299209117889404297e+00,4.250000000000000000e+00,2.034523620605468750e+02,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.659294891357421875e+02,3.000000000000000000e+01,1.717074584960937500e+02,9.241112518310546875e+01,4.693813323974609375e+01,2.135055236816406250e+02,3.000000000000000000e+00,2.000000000000000000e+01,8.389814376831054688e+00,4.184150218963623047e+00,2.299209117889404297e+00,4.250000000000000000e+00,2.034523620605468750e+02,1.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.695548858642578125e+02,2.500000000000000000e+01,1.421741638183593750e+02,8.182443237304687500e+01,4.796368408203125000e+01,1.811949005126953125e+02,2.833333253860473633e+00,2.000000000000000000e+01,5.669365406036376953e+00,2.663629531860351562e+00,1.660136342048645020e+00,4.250000000000000000e+00,1.779922485351562500e+02,1.000000000000000000e+00
