bc_index;building_categories_index;climate_region_index;Af;gebaudebauweise_fbw;Hop;Htr_w;Hve;CM_factor;Am_factor;Tset;average_effective_area_wind_west_east_red_cool;average_effective_area_wind_south_red_cool;average_effective_area_wind_north_red_cool;spec_int_gains_cool_watt;hwb_norm;user_profile
120;2;1;185.137;30;135.331;82.803;52.371;213505.516;3;20;8.323;5.549;1.541;3;84.197;4
121;2;1;182.928;30;97.232;118.201;51.747;213505.516;3;20;13.517;8.207;2.414;3;73.242;4
122;2;1;177.626;30;61.29;100.937;50.247;213505.516;3;20;15.365;5.587;2.328;3;53.809;4
123;2;1;176.861;20;61.882;60.825;50.031;148226.875;2.667;20;8.452;3.622;1.342;3;47.799;4
124;2;1;177.167;20;65.651;58.016;50.117;148226.875;2.667;20;7.959;3.411;1.263;3;49.014;4
125;2;1;186.503;20;63.986;63.211;52.758;148226.875;2.667;20;8.789;3.767;1.395;3;47.045;4
126;2;1;169.459;20;61.096;59.162;47.937;148226.875;2.667;20;8.207;3.517;1.303;3;48.889;4
127;2;1;214.028;20;71.511;68.667;60.544;148226.875;2.667;20;9.517;4.079;1.511;3;45.659;4
128;2;1;155.954;20;56.17;56.422;44.116;148226.875;2.667;20;7.86;3.368;1.248;3;49.297;4
129;3;1;151.969;60;108.425;84.284;42.989;398415.375;3.5;20;9.533;2.551;1.343;3;90.042;4
130;3;1;142.964;50;108.695;72.02;40.442;338121.656;3.5;20;8.049;2.012;1.118;3;93.059;4
131;3;1;149.278;30;98.467;116.132;42.228;213505.516;3;20;14.641;3.166;1.979;3;97.315;4
132;3;1;143.645;30;111.522;45.97;40.634;213505.516;3;20;4.667;1.167;0.648;3;89.027;4
133;3;1;151.571;30;97.024;110.354;42.876;213505.516;3;20;10.867;5.996;1.874;3;91.135;4
134;3;1;154.146;30;81.888;59.461;43.605;213505.516;3;20;8.1;2.168;1.141;3;65.876;4
135;3;1;152.423;30;70.898;66.104;43.117;213505.516;3;20;7.616;4.202;1.313;3;60.399;4
136;3;1;154.716;30;47.828;51.738;43.766;213505.516;3;20;8.532;1.845;1.153;3;43.549;4
137;3;1;151.438;20;36.715;91.879;42.839;148226.875;2.667;20;14.296;5.198;2.166;3;49.031;4
138;3;1;146.201;20;35.522;90.521;41.357;148226.875;2.667;20;14.095;5.125;2.136;3;49.584;4
139;3;1;170.843;20;37.063;105.869;48.328;148226.875;2.667;20;16.557;6.021;2.509;3;47.544;4
140;3;1;174.619;20;39.913;101.961;49.396;148226.875;2.667;20;15.878;5.774;2.406;3;46.997;4
141;3;1;168.428;20;37.546;102.903;47.645;148226.875;2.667;20;16.069;5.843;2.435;3;47.658;4
142;5;1;338.341;60;178.341;221.096;95.71;398415.375;3.5;20;21.925;11.52;3.716;3;75.977;4
143;5;1;318.3;50;175.703;188.989;90.041;338121.656;3.5;20;20.371;7.835;3.134;3;76.89;4
144;5;1;311.974;30;151.611;259.472;88.251;213505.516;3;20;25.468;15.463;4.548;3;81.509;4
145;5;1;369.127;30;155.122;420.491;104.419;213505.516;3;20;50.51;17.339;7.539;3;92.299;4
146;5;1;351.196;30;165.398;212.757;99.346;213505.516;3;20;20.82;12.054;3.653;3;71.006;4
147;5;1;408.553;30;144.615;253.364;115.571;213505.516;3;20;29.238;18.606;5.316;3;56.774;4
148;5;1;379.648;30;112.222;246.547;107.395;213505.516;3;20;36.131;10.996;5.236;3;55.238;4
149;5;1;380.643;30;69.136;199.916;107.676;213505.516;3;20;30.805;11.848;4.739;3;39.048;4
150;5;1;402.311;20;68.741;191.144;113.806;148226.875;2.667;20;25.339;15.385;4.525;3;37.499;4
151;5;1;348.114;20;61.761;173.642;98.475;148226.875;2.667;20;23.029;13.982;4.112;3;38.663;4
152;5;1;395.997;20;68.659;187.729;112.02;148226.875;2.667;20;24.871;15.1;4.441;3;37.63;4
153;5;1;316.493;20;58.617;160.847;89.53;148226.875;2.667;20;21.312;12.94;3.806;3;39.462;4
154;5;1;531.064;20;119.579;184.418;150.227;148226.875;2.667;20;23.715;14.399;4.235;3;37.276;4
155;6;1;674.343;60;289.887;367.128;190.758;398415.375;3.5;20;36.474;19.164;6.182;3;63.524;4
156;6;1;681.008;50;259.681;352.212;192.643;338121.656;3.5;20;38.77;14.911;5.965;3;59.255;4
157;6;1;622.298;30;212.751;444.915;176.036;213505.516;3;20;44.163;26.813;7.886;3;64.301;4
158;6;1;647.11;30;202.514;663.246;183.055;213505.516;3;20;80.196;27.53;11.97;3;77.982;4
159;6;1;671.68;30;210.46;368.855;190.005;213505.516;3;20;36.905;21.366;6.475;3;55.18;4
160;6;1;716.672;30;186.293;512.41;202.732;213505.516;3;20;60.431;38.456;10.987;3;52.833;4
161;6;1;721.126;30;172.829;422.991;203.992;213505.516;3;20;62.291;18.958;9.028;3;48.239;4
162;6;1;779.199;30;126.436;314.777;220.42;213505.516;3;20;48.224;18.548;7.419;3;34.346;4
163;6;1;668.798;20;108.755;262.238;189.19;148226.875;2.667;20;34.565;20.986;6.172;3;34.459;4
164;7;1;1528.129;60;519.04;644.22;432.277;398415.375;3.5;20;63.891;33.57;10.829;3;51.223;4
165;7;1;1599.172;50;560.701;627.802;452.374;338121.656;3.5;20;67.943;26.132;10.453;3;51.728;4
166;7;1;1238.428;30;458.517;678.719;350.327;213505.516;3;20;65.974;40.056;11.781;3;59.605;4
167;7;1;1812.347;30;539.649;1276.097;512.677;213505.516;3;20;152.428;52.326;22.75;3;61.735;4
168;7;1;2267.472;30;501.727;908.086;641.423;213505.516;3;20;91.031;52.702;15.97;3;41.286;4
169;7;1;1740.503;30;359.269;958.658;492.353;213505.516;3;20;112.927;71.863;20.532;3;42.397;4
170;7;1;2714.453;30;544.611;990.374;767.865;213505.516;3;20;143.696;43.734;20.826;3;37.187;4
171;7;1;2538.368;30;385.09;675.22;718.054;213505.516;3;20;101.627;39.087;15.635;3;30.043;4
172;2;1;183.794;60;111.589;86.135;51.992;398415.375;3.5;20;7.443;4.894;1.371;3;75.8;4
173;2;1;166.934;50;104.549;118.795;47.222;338121.656;3.5;20;12.082;5.744;1.981;3;87.39;4
174;2;1;174.14;30;99.628;96.931;49.261;213505.516;3;20;10.037;4.533;1.619;3;78.515;4
175;2;1;175.609;30;102.805;135.77;49.676;213505.516;3;20;13.315;7.709;2.336;3;87.882;4
176;2;1;184.145;30;104.752;134.302;52.091;213505.516;3;20;14.753;5.993;2.305;3;85.428;4
177;2;1;185.137;30;93.055;78.575;52.371;213505.516;3;20;8.323;5.549;1.541;3;62.841;4
178;2;1;182.928;30;75.638;116.042;51.747;213505.516;3;20;13.517;8.207;2.414;3;62.759;4
179;2;1;177.626;30;61.29;99.687;50.247;213505.516;3;20;15.365;5.587;2.328;3;53.262;4
180;2;1;176.861;20;61.882;57.299;50.031;148226.875;2.667;20;8.452;3.622;1.342;3;46.17;4
181;2;1;177.167;20;65.651;54.883;50.117;148226.875;2.667;20;7.959;3.411;1.263;3;47.556;4
182;2;1;186.503;20;63.986;58.8;52.758;148226.875;2.667;20;8.789;3.767;1.395;3;45.116;4
183;2;1;169.459;20;61.096;53.931;47.937;148226.875;2.667;20;8.207;3.517;1.303;3;46.366;4
184;2;1;214.028;20;71.511;60.91;60.544;148226.875;2.667;20;9.517;4.079;1.511;3;42.705;4
185;2;1;155.954;20;56.17;46.896;44.116;148226.875;2.667;20;7.86;3.368;1.248;3;44.334;4
